HDR,ROLLING SYSTEM DEMAND
VD,20210201000000,28076
VD,20210201000500,28162
VD,20210201001000,28178
VD,20210201001500,28201
VD,20210201002000,28136
VD,20210201002500,28014
VD,20210201003000,28134
VD,20210201003500,28430
VD,20210201004000,28567
VD,20210201004500,28627
VD,20210201005000,28642
VD,20210201005500,28603
VD,20210201010000,28537
VD,20210201010500,28689
VD,20210201011000,28557
VD,20210201011500,28446
VD,20210201012000,28422
VD,20210201012500,28286
VD,20210201013000,28203
VD,20210201013500,28155
VD,20210201014000,28096
VD,20210201014500,27890
VD,20210201015000,27930
VD,20210201015500,27878
VD,20210201020000,27796
VD,20210201020500,27730
VD,20210201021000,27649
VD,20210201021500,27607
VD,20210201022000,27482
VD,20210201022500,27364
VD,20210201023000,27303
VD,20210201023500,27276
VD,20210201024000,27251
VD,20210201024500,27194
VD,20210201025000,27193
VD,20210201025500,27318
VD,20210201030000,27373
VD,20210201030500,27411
VD,20210201031000,27392
VD,20210201031500,27479
VD,20210201032000,27564
VD,20210201032500,27550
VD,20210201033000,27484
VD,20210201033500,27470
VD,20210201034000,27432
VD,20210201034500,27384
VD,20210201035000,27347
VD,20210201035500,27278
VD,20210201040000,27284
VD,20210201040500,27420
VD,20210201041000,27476
VD,20210201041500,27522
VD,20210201042000,27539
VD,20210201042500,27473
VD,20210201043000,27495
VD,20210201043500,27618
VD,20210201044000,27715
VD,20210201044500,27763
VD,20210201045000,27796
VD,20210201045500,27726
VD,20210201050000,27720
VD,20210201050500,27794
VD,20210201051000,27814
VD,20210201051500,27728
VD,20210201052000,27685
VD,20210201052500,27781
VD,20210201053000,27874
VD,20210201053500,28045
VD,20210201054000,28339
VD,20210201054500,28586
VD,20210201055000,28814
VD,20210201055500,29109
VD,20210201060000,29459
VD,20210201060500,29752
VD,20210201061000,30146
VD,20210201061500,30535
VD,20210201062000,31029
VD,20210201062500,31541
VD,20210201063000,31939
VD,20210201063500,32367
VD,20210201064000,32801
VD,20210201064500,33126
VD,20210201065000,33455
VD,20210201065500,33950
VD,20210201070000,34375
VD,20210201070500,34552
VD,20210201071000,35211
VD,20210201071500,35714
VD,20210201072000,36014
VD,20210201072500,36352
VD,20210201073000,36587
VD,20210201073500,36726
VD,20210201074000,36943
VD,20210201074500,37150
VD,20210201075000,37383
VD,20210201075500,37658
VD,20210201080000,37968
VD,20210201080500,38445
VD,20210201081000,38858
VD,20210201081500,39232
VD,20210201082000,39523
VD,20210201082500,39833
VD,20210201083000,40126
VD,20210201083500,40380
VD,20210201084000,40475
VD,20210201084500,40633
VD,20210201085000,40656
VD,20210201085500,40821
VD,20210201090000,41129
VD,20210201090500,41277
VD,20210201091000,41477
VD,20210201091500,41507
VD,20210201092000,41556
VD,20210201092500,41646
VD,20210201093000,41619
VD,20210201093500,41606
VD,20210201094000,41608
VD,20210201094500,41664
VD,20210201095000,41682
VD,20210201095500,41677
VD,20210201100000,41656
VD,20210201100500,41635
VD,20210201101000,41626
VD,20210201101500,41577
VD,20210201102000,41579
VD,20210201102500,41546
VD,20210201103000,41559
VD,20210201103500,41585
VD,20210201104000,41602
VD,20210201104500,41542
VD,20210201105000,41557
VD,20210201105500,41506
VD,20210201110000,41479
VD,20210201110500,41480
VD,20210201111000,41421
VD,20210201111500,41355
VD,20210201112000,41329
VD,20210201112500,41318
VD,20210201113000,41358
VD,20210201113500,41505
VD,20210201114000,41449
VD,20210201114500,41482
VD,20210201115000,41513
VD,20210201115500,41581
VD,20210201120000,41650
VD,20210201120500,41942
VD,20210201121000,41987
VD,20210201121500,41991
VD,20210201122000,41999
VD,20210201122500,41971
VD,20210201123000,41742
VD,20210201123500,41782
VD,20210201124000,41732
VD,20210201124500,41658
VD,20210201125000,41686
VD,20210201125500,41565
VD,20210201130000,41460
VD,20210201130500,41419
VD,20210201131000,41524
VD,20210201131500,41527
VD,20210201132000,41576
VD,20210201132500,41539
VD,20210201133000,41407
VD,20210201133500,41183
VD,20210201134000,41445
VD,20210201134500,41542
VD,20210201135000,41556
VD,20210201135500,41402
VD,20210201140000,41306
VD,20210201140500,41304
VD,20210201141000,41312
VD,20210201141500,41256
VD,20210201142000,41285
VD,20210201142500,41282
VD,20210201143000,41194
VD,20210201143500,40894
VD,20210201144000,40925
VD,20210201144500,40941
VD,20210201145000,40958
VD,20210201145500,40847
VD,20210201150000,40801
VD,20210201150500,40978
VD,20210201151000,41194
VD,20210201151500,41266
VD,20210201152000,41331
VD,20210201152500,41388
VD,20210201153000,41496
VD,20210201153500,41747
VD,20210201154000,41864
VD,20210201154500,41944
VD,20210201155000,42123
VD,20210201155500,42158
VD,20210201160000,42215
VD,20210201160500,42244
VD,20210201161000,42309
VD,20210201161500,42485
VD,20210201162000,42617
VD,20210201162500,42775
VD,20210201163000,42850
VD,20210201163500,42776
VD,20210201164000,43048
VD,20210201164500,43416
VD,20210201165000,43576
VD,20210201165500,43754
VD,20210201170000,44035
VD,20210201170500,44379
VD,20210201171000,44489
VD,20210201171500,44576
VD,20210201172000,44848
VD,20210201172500,45089
VD,20210201173000,45177
VD,20210201173500,45250
VD,20210201174000,45287
VD,20210201174500,45278
VD,20210201175000,45299
VD,20210201175500,45098
VD,20210201180000,44997
VD,20210201180500,45049
VD,20210201181000,44946
VD,20210201181500,44848
VD,20210201182000,44707
VD,20210201182500,44574
VD,20210201183000,44519
VD,20210201183500,44554
VD,20210201184000,44773
VD,20210201184500,44713
VD,20210201185000,44564
VD,20210201185500,44217
VD,20210201190000,43979
VD,20210201190500,43474
VD,20210201191000,43246
VD,20210201191500,43060
VD,20210201192000,42680
VD,20210201192500,42395
VD,20210201193000,42051
VD,20210201193500,42059
VD,20210201194000,41765
VD,20210201194500,41566
VD,20210201195000,41376
VD,20210201195500,41099
VD,20210201200000,40800
VD,20210201200500,40869
VD,20210201201000,40864
VD,20210201201500,40708
VD,20210201202000,40469
VD,20210201202500,40115
VD,20210201203000,39904
VD,20210201203500,39671
VD,20210201204000,39381
VD,20210201204500,39022
VD,20210201205000,38638
VD,20210201205500,38423
VD,20210201210000,38228
VD,20210201210500,37983
VD,20210201211000,37685
VD,20210201211500,37245
VD,20210201212000,36940
VD,20210201212500,36554
VD,20210201213000,36236
VD,20210201213500,35911
VD,20210201214000,35527
VD,20210201214500,35172
VD,20210201215000,34921
VD,20210201215500,34741
VD,20210201220000,34518
VD,20210201220500,34286
VD,20210201221000,33862
VD,20210201221500,33541
VD,20210201222000,33137
VD,20210201222500,32765
VD,20210201223000,32350
VD,20210201223500,32196
VD,20210201224000,31897
VD,20210201224500,31395
VD,20210201225000,31121
VD,20210201225500,30875
VD,20210201230000,30519
VD,20210201230500,30366
VD,20210201231000,30104
VD,20210201231500,29855
VD,20210201232000,29578
VD,20210201232500,29256
VD,20210201233000,29072
VD,20210201233500,28908
VD,20210201234000,28713
VD,20210201234500,28553
VD,20210201235000,28325
VD,20210201235500,28206
VD,20210202000000,28166
VD,20210202000500,28237
VD,20210202001000,28338
VD,20210202001500,28265
VD,20210202002000,28237
VD,20210202002500,28119
VD,20210202003000,28330
VD,20210202003500,28597
VD,20210202004000,28620
VD,20210202004500,28633
VD,20210202005000,28714
VD,20210202005500,28873
VD,20210202010000,28876
VD,20210202010500,28849
VD,20210202011000,28759
VD,20210202011500,28775
VD,20210202012000,28667
VD,20210202012500,28449
VD,20210202013000,28317
VD,20210202013500,28152
VD,20210202014000,28071
VD,20210202014500,27904
VD,20210202015000,27711
VD,20210202015500,27594
VD,20210202020000,27554
VD,20210202020500,27761
VD,20210202021000,27902
VD,20210202021500,27875
VD,20210202022000,27991
VD,20210202022500,28111
VD,20210202023000,27982
